no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,loan_to_income_ratio,annual_payment,debt_service_ratio,assets_to_loan_ratio,income_per_dependent
2,1,0,9600000,29900000,12,778,2400000.0,17600000,22700000,8000000,1,50700000.0,3.114583008897603,2491666.6666666665,0.25954858407480025,1.6956521172022703,3200000.0
0,0,1,4100000,12200000,8,417,2700000.0,2200000,8800000,3300000,0,17000000.0,2.975609030339261,1525000.0,0.3719511287924076,1.3934425087342206,4100000.0
3,1,0,9100000,29700000,20,506,7100000.0,4500000,33300000,12800000,0,57700000.0,3.2637359050839665,1485000.0,0.16318679525419832,1.9427608773481186,2275000.0
3,1,0,8200000,30700000,8,467,18200000.0,3300000,23300000,7900000,0,52700000.0,3.7439019824509776,3837500.0,0.4679877478063722,1.716612321934452,2050000.0
5,0,1,9800000,24200000,20,382,12400000.0,8200000,29400000,5000000,0,55000000.0,2.4693875031237242,1210000.0,0.12346937515618621,2.2727271788129264,1633333.3333333333
0,1,1,4800000,13500000,10,319,6800000.0,8300000,13700000,5100000,0,33900000.0,2.8124994140626223,1350000.0,0.2812499414062622,2.5111109251028942,4800000.0
5,1,0,8700000,33000000,4,678,22500000.0,14800000,29200000,4300000,1,70800000.0,3.79310301228701,8250000.0,0.9482757530717525,2.1454544804407734,1450000.0
2,1,1,5700000,15000000,20,382,13200000.0,5700000,11800000,6000000,0,36700000.0,2.631578485687985,750000.0,0.13157892428439924,2.4466665035555666,1900000.0
0,1,1,800000,2200000,20,782,1300000.0,800000,2800000,600000,1,5500000.0,2.749996562504297,110000.0,0.13749982812521486,2.49999886363688,800000.0
5,0,0,1100000,4300000,10,388,3200000.0,1400000,3300000,1600000,0,9500000.0,3.9090873553751315,430000.0,0.39090873553751315,2.2093018117902763,183333.33333333334
4,1,1,2900000,11200000,2,547,8100000.0,4700000,9500000,3100000,1,25400000.0,3.8620676337697812,5600000.0,1.9310338168848906,2.2678569403699163,580000.0
2,0,1,6700000,22700000,18,538,15300000.0,5800000,20400000,6400000,0,47900000.0,3.3880591958120605,1261111.111111111,0.18822551087844777,2.1101320656329485,2233333.3333333335
3,0,1,5000000,11600000,16,311,6400000.0,9600000,14600000,4300000,0,34900000.0,2.319999536000093,725000.0,0.1449999710000058,3.008620430291342,1250000.0
2,1,1,9100000,31500000,14,679,10800000.0,16600000,20900000,5000000,1,53300000.0,3.461538081149661,2250000.0,0.24725272008211868,1.6920634383471924,3033333.3333333335
1,0,0,1900000,7400000,6,469,1900000.0,1200000,5900000,1900000,0,10900000.0,3.8947347922448463,1233333.3333333333,0.649122465374141,1.4729727739225982,950000.0
5,0,0,4700000,10700000,10,794,5700000.0,3900000,16400000,4400000,1,30400000.0,2.2765952602988806,1070000.0,0.22765952602988807,2.8411212298017543,783333.3333333334
